,trade_id,date,asset,trip,action,type,price,status
0,1,2020-01-06,IVV,ENTRY,BUY,LMT,320.57,SUBMITTED
1,1,2020-01-08,IVV,ENTRY,BUY,LMT,320.57,CANCELLED
2,2,2020-01-07,IVV,ENTRY,BUY,LMT,321.84,SUBMITTED
3,2,2020-01-09,IVV,ENTRY,BUY,LMT,321.84,CANCELLED
4,3,2020-01-08,IVV,ENTRY,BUY,LMT,320.96,SUBMITTED
5,3,2020-01-10,IVV,ENTRY,BUY,LMT,320.96,CANCELLED
6,4,2020-01-09,IVV,ENTRY,BUY,LMT,322.59,SUBMITTED
7,4,2020-01-13,IVV,ENTRY,BUY,LMT,322.59,CANCELLED
8,5,2020-01-10,IVV,ENTRY,BUY,LMT,324.77,SUBMITTED
9,5,2020-01-14,IVV,ENTRY,BUY,LMT,324.77,CANCELLED
10,6,2020-01-13,IVV,ENTRY,BUY,LMT,323.87,SUBMITTED
11,6,2020-01-15,IVV,ENTRY,BUY,LMT,323.87,CANCELLED
12,7,2020-01-14,IVV,ENTRY,BUY,LMT,326.14,SUBMITTED
13,7,2020-01-16,IVV,ENTRY,BUY,LMT,326.14,CANCELLED
14,8,2020-01-15,IVV,ENTRY,BUY,LMT,325.63,SUBMITTED
15,8,2020-01-17,IVV,ENTRY,BUY,LMT,325.63,CANCELLED
16,9,2020-01-16,IVV,ENTRY,BUY,LMT,326.36,SUBMITTED
17,9,2020-01-21,IVV,ENTRY,BUY,LMT,326.36,CANCELLED
18,10,2020-01-17,IVV,ENTRY,BUY,LMT,329.08,SUBMITTED
19,10,2020-01-22,IVV,ENTRY,BUY,LMT,329.08,CANCELLED
20,11,2020-01-21,IVV,ENTRY,BUY,LMT,330.16,SUBMITTED
21,11,2020-01-23,IVV,ENTRY,BUY,LMT,330.16,CANCELLED
22,12,2020-01-22,IVV,ENTRY,BUY,LMT,329.45,SUBMITTED
23,12,2020-01-24,IVV,ENTRY,BUY,LMT,329.45,FILLED
24,12,2020-01-24,IVV,EXIT,SELL,LMT,332.74,SUBMITTED
25,12,2020-01-30,IVV,EXIT,SELL,LMT,332.74,CANCELLED
26,12,2020-01-30,IVV,EXIT,SELL,MKT,329.09,SUBMITTED
27,12,2020-01-30,IVV,EXIT,SELL,MKT,329.09,FILLED
28,13,2020-01-23,IVV,ENTRY,BUY,LMT,329.52,SUBMITTED
29,13,2020-01-24,IVV,ENTRY,BUY,LMT,329.52,FILLED
30,13,2020-01-24,IVV,EXIT,SELL,LMT,332.82,SUBMITTED
31,13,2020-01-30,IVV,EXIT,SELL,LMT,332.82,CANCELLED
32,13,2020-01-30,IVV,EXIT,SELL,MKT,329.09,SUBMITTED
33,13,2020-01-30,IVV,EXIT,SELL,MKT,329.09,FILLED
34,14,2020-01-24,IVV,ENTRY,BUY,LMT,329.93,SUBMITTED
35,14,2020-01-24,IVV,ENTRY,BUY,LMT,329.93,FILLED
36,14,2020-01-24,IVV,EXIT,SELL,LMT,333.23,SUBMITTED
37,14,2020-01-30,IVV,EXIT,SELL,LMT,333.23,CANCELLED
38,14,2020-01-30,IVV,EXIT,SELL,MKT,329.09,SUBMITTED
39,14,2020-01-30,IVV,EXIT,SELL,MKT,329.09,FILLED
40,15,2020-01-27,IVV,ENTRY,BUY,LMT,326.93,SUBMITTED
41,15,2020-01-27,IVV,ENTRY,BUY,LMT,326.93,FILLED
42,15,2020-01-27,IVV,EXIT,SELL,LMT,330.2,SUBMITTED
43,15,2020-01-31,IVV,EXIT,SELL,LMT,330.2,CANCELLED
44,15,2020-01-31,IVV,EXIT,SELL,MKT,323.24,SUBMITTED
45,15,2020-01-31,IVV,EXIT,SELL,MKT,323.24,FILLED
46,16,2020-01-28,IVV,ENTRY,BUY,LMT,321.62,SUBMITTED
47,16,2020-01-30,IVV,ENTRY,BUY,LMT,321.62,CANCELLED
48,17,2020-01-29,IVV,ENTRY,BUY,LMT,325.05,SUBMITTED
49,17,2020-01-30,IVV,ENTRY,BUY,LMT,325.05,FILLED
50,17,2020-01-30,IVV,EXIT,SELL,LMT,328.3,SUBMITTED
51,17,2020-01-30,IVV,EXIT,SELL,LMT,328.3,FILLED
52,18,2020-01-30,IVV,ENTRY,BUY,LMT,324.82,SUBMITTED
53,18,2020-01-31,IVV,ENTRY,BUY,LMT,324.82,FILLED
54,18,2020-01-31,IVV,EXIT,SELL,LMT,328.07,SUBMITTED
55,18,2020-02-04,IVV,EXIT,SELL,LMT,328.07,FILLED
56,19,2020-01-31,IVV,ENTRY,BUY,LMT,325.8,SUBMITTED
57,19,2020-01-31,IVV,ENTRY,BUY,LMT,325.8,FILLED
58,19,2020-01-31,IVV,EXIT,SELL,LMT,329.06,SUBMITTED
59,19,2020-02-04,IVV,EXIT,SELL,LMT,329.06,FILLED
60,20,2020-02-03,IVV,ENTRY,BUY,LMT,320.01,SUBMITTED
61,20,2020-02-05,IVV,ENTRY,BUY,LMT,320.01,CANCELLED
62,21,2020-02-04,IVV,ENTRY,BUY,LMT,322.3,SUBMITTED
63,21,2020-02-06,IVV,ENTRY,BUY,LMT,322.3,CANCELLED
64,22,2020-02-05,IVV,ENTRY,BUY,LMT,327.3,SUBMITTED
65,22,2020-02-07,IVV,ENTRY,BUY,LMT,327.3,CANCELLED
66,23,2020-02-06,IVV,ENTRY,BUY,LMT,330.95,SUBMITTED
67,23,2020-02-10,IVV,ENTRY,BUY,LMT,330.95,CANCELLED
68,24,2020-02-07,IVV,ENTRY,BUY,LMT,332.21,SUBMITTED
69,24,2020-02-11,IVV,ENTRY,BUY,LMT,332.21,CANCELLED
70,25,2020-02-10,IVV,ENTRY,BUY,LMT,330.41,SUBMITTED
71,25,2020-02-12,IVV,ENTRY,BUY,LMT,330.41,CANCELLED
72,26,2020-02-11,IVV,ENTRY,BUY,LMT,332.86,SUBMITTED
73,26,2020-02-13,IVV,ENTRY,BUY,LMT,332.86,CANCELLED
74,27,2020-02-12,IVV,ENTRY,BUY,LMT,333.47,SUBMITTED
75,27,2020-02-14,IVV,ENTRY,BUY,LMT,333.47,CANCELLED
76,28,2020-02-13,IVV,ENTRY,BUY,LMT,335.61,SUBMITTED
77,28,2020-02-18,IVV,ENTRY,BUY,LMT,335.61,CANCELLED
78,29,2020-02-14,IVV,ENTRY,BUY,LMT,335.19,SUBMITTED
79,29,2020-02-19,IVV,ENTRY,BUY,LMT,335.19,CANCELLED
80,30,2020-02-18,IVV,ENTRY,BUY,LMT,335.68,SUBMITTED
81,30,2020-02-20,IVV,ENTRY,BUY,LMT,335.68,FILLED
82,30,2020-02-20,IVV,EXIT,SELL,LMT,339.04,SUBMITTED
83,30,2020-02-26,IVV,EXIT,SELL,LMT,339.04,CANCELLED
84,30,2020-02-26,IVV,EXIT,SELL,MKT,312.91,SUBMITTED
85,30,2020-02-26,IVV,EXIT,SELL,MKT,312.91,FILLED
86,31,2020-02-19,IVV,ENTRY,BUY,LMT,334.88,SUBMITTED
87,31,2020-02-21,IVV,ENTRY,BUY,LMT,334.88,FILLED
88,31,2020-02-21,IVV,EXIT,SELL,LMT,338.23,SUBMITTED
89,31,2020-02-27,IVV,EXIT,SELL,LMT,338.23,CANCELLED
90,31,2020-02-27,IVV,EXIT,SELL,MKT,298.71,SUBMITTED
91,31,2020-02-27,IVV,EXIT,SELL,MKT,298.71,FILLED
92,32,2020-02-20,IVV,ENTRY,BUY,LMT,336.48,SUBMITTED
93,32,2020-02-20,IVV,ENTRY,BUY,LMT,336.48,FILLED
94,32,2020-02-20,IVV,EXIT,SELL,LMT,339.84,SUBMITTED
95,32,2020-02-26,IVV,EXIT,SELL,LMT,339.84,CANCELLED
96,32,2020-02-26,IVV,EXIT,SELL,MKT,312.91,SUBMITTED
97,32,2020-02-26,IVV,EXIT,SELL,MKT,312.91,FILLED
98,33,2020-02-21,IVV,ENTRY,BUY,LMT,335.11,SUBMITTED
99,33,2020-02-21,IVV,ENTRY,BUY,LMT,335.11,FILLED
100,33,2020-02-21,IVV,EXIT,SELL,LMT,338.46,SUBMITTED
101,33,2020-02-27,IVV,EXIT,SELL,LMT,338.46,CANCELLED
102,33,2020-02-27,IVV,EXIT,SELL,MKT,298.71,SUBMITTED
103,33,2020-02-27,IVV,EXIT,SELL,MKT,298.71,FILLED
104,34,2020-02-24,IVV,ENTRY,BUY,LMT,331.66,SUBMITTED
105,34,2020-02-24,IVV,ENTRY,BUY,LMT,331.66,FILLED
106,34,2020-02-24,IVV,EXIT,SELL,LMT,334.98,SUBMITTED
107,34,2020-02-28,IVV,EXIT,SELL,LMT,334.98,CANCELLED
108,34,2020-02-28,IVV,EXIT,SELL,MKT,295.91,SUBMITTED
109,34,2020-02-28,IVV,EXIT,SELL,MKT,295.91,FILLED
110,35,2020-02-25,IVV,ENTRY,BUY,LMT,320.59,SUBMITTED
111,35,2020-02-25,IVV,ENTRY,BUY,LMT,320.59,FILLED
112,35,2020-02-25,IVV,EXIT,SELL,LMT,323.8,SUBMITTED
113,35,2020-03-02,IVV,EXIT,SELL,LMT,323.8,CANCELLED
114,35,2020-03-02,IVV,EXIT,SELL,MKT,310.4,SUBMITTED
115,35,2020-03-02,IVV,EXIT,SELL,MKT,310.4,FILLED
116,36,2020-02-26,IVV,ENTRY,BUY,LMT,310.98,SUBMITTED
117,36,2020-02-27,IVV,ENTRY,BUY,LMT,310.98,FILLED
118,36,2020-02-27,IVV,EXIT,SELL,LMT,314.09,SUBMITTED
119,36,2020-03-03,IVV,EXIT,SELL,LMT,314.09,FILLED
120,37,2020-02-27,IVV,ENTRY,BUY,LMT,309.78,SUBMITTED
121,37,2020-02-27,IVV,ENTRY,BUY,LMT,309.78,FILLED
122,37,2020-02-27,IVV,EXIT,SELL,LMT,312.88,SUBMITTED
123,37,2020-03-03,IVV,EXIT,SELL,LMT,312.88,FILLED
124,38,2020-02-28,IVV,ENTRY,BUY,LMT,295.72,SUBMITTED
125,38,2020-02-28,IVV,ENTRY,BUY,LMT,295.72,FILLED
126,38,2020-02-28,IVV,EXIT,SELL,LMT,298.68,SUBMITTED
127,38,2020-03-02,IVV,EXIT,SELL,LMT,298.68,FILLED
128,39,2020-03-02,IVV,ENTRY,BUY,LMT,292.95,SUBMITTED
129,39,2020-03-04,IVV,ENTRY,BUY,LMT,292.95,CANCELLED
130,40,2020-03-03,IVV,ENTRY,BUY,LMT,307.3,SUBMITTED
131,40,2020-03-03,IVV,ENTRY,BUY,LMT,307.3,FILLED
132,40,2020-03-03,IVV,EXIT,SELL,LMT,310.37,SUBMITTED
133,40,2020-03-04,IVV,EXIT,SELL,LMT,310.37,FILLED
134,41,2020-03-04,IVV,ENTRY,BUY,LMT,298.48,SUBMITTED
135,41,2020-03-06,IVV,ENTRY,BUY,LMT,298.48,FILLED
136,41,2020-03-06,IVV,EXIT,SELL,LMT,301.46,SUBMITTED
137,41,2020-03-12,IVV,EXIT,SELL,LMT,301.46,CANCELLED
138,41,2020-03-12,IVV,EXIT,SELL,MKT,248.96,SUBMITTED
139,41,2020-03-12,IVV,EXIT,SELL,MKT,248.96,FILLED
140,42,2020-03-05,IVV,ENTRY,BUY,LMT,311.6,SUBMITTED
